Classe,Ano,Desmatamento,nova_coluna,Biomas
1. Supressão de Vegetação Primária,2000,497634,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2000,214660,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2001,408426,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2001,180751,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2002,388113,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2002,183891,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2003,423476,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2003,198154,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2004,418227,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2004,229900,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2005,464187,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2005,233219,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2006,443966,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2006,236529,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2007,364813,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2007,207141,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2008,399465,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2008,253607,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2009,343720,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2009,232063,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2010,314645,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2010,234897,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2011,308843,Entre a Segunda e a Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2011,235727,Entre a Segunda e a Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2012,283141,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2012,241941,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2013,295081,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2013,242825,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2014,321879,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2014,283136,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2015,289386,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2015,273861,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2016,299496,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2016,272427,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2017,251224,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2017,248093,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2018,317764,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2018,328680,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2019,357602,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2019,341063,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2020,374589,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2020,331782,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2021,494701,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2021,368140,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2022,527205,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2022,389717,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,2023,103216,Depois da Terceira Lei,Caatinga
2. Supressão de Vegetação Secundária,2023,49885,Depois da Terceira Lei,Caatinga
1. Supressão de Vegetação Primária,1989,2048457,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1989,13787,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1990,1895342,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1990,59393,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1991,1816058,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1991,147554,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1992,1810765,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1992,220996,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1993,1634210,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1993,248852,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1994,1632701,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1994,283198,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1995,1639930,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1995,320506,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1996,1399263,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1996,320222,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1997,1250464,Entre a Primeira e a Segunda Lei,Cerrado
2. Supressão de Vegetação Secundária,1997,318378,Entre a Primeira e a Segunda Lei,Cerrado
1. Supressão de Vegetação Primária,1998,1289368,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,1998,341352,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,1999,1243923,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,1999,379362,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2000,1259930,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2000,406646,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2001,1128890,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2001,365415,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2002,1124316,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2002,396429,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2003,1361251,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2003,441626,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2004,1430364,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2004,453545,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2005,1130766,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2005,379259,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2006,945929,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2006,364434,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2007,818713,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2007,361263,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2008,879666,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2008,372505,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2009,764446,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2009,356316,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2010,753907,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2010,369008,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2011,729227,Entre a Segunda e a Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2011,403771,Entre a Segunda e a Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2012,1023586,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2012,481145,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2013,1093123,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2013,508372,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2014,895029,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2014,453393,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2015,856732,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2015,425480,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2016,706706,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2016,406996,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2017,675141,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2017,384589,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2018,650488,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2018,384404,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2019,880202,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2019,425043,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2020,1003325,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2020,461701,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2021,809691,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2021,507486,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2022,937230,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2022,589052,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,2023,1028377,Depois da Terceira Lei,Cerrado
2. Supressão de Vegetação Secundária,2023,264811,Depois da Terceira Lei,Cerrado
1. Supressão de Vegetação Primária,1989,648998,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1989,7017,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1990,542314,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1990,12869,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1991,543505,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1991,25351,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1992,425613,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1992,37694,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1993,406794,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1993,53668,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1994,395685,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1994,60382,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1995,382347,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1995,77886,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1996,361417,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1996,88357,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1997,374426,Entre a Primeira e a Segunda Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1997,101364,Entre a Primeira e a Segunda Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1998,290345,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1998,98473,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1999,347071,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,1999,126486,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2000,321935,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2000,123950,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2001,249731,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2001,110244,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2002,238310,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2002,113477,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2003,280791,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2003,124133,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2004,238513,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2004,117750,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2005,232516,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2005,116062,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2006,221601,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2006,107274,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2007,187202,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2007,108753,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2008,192089,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2008,118592,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2009,195285,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2009,117218,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2010,185258,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2010,130157,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2011,168289,Entre a Segunda e a Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2011,127668,Entre a Segunda e a Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2012,169071,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2012,137878,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2013,190553,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2013,160864,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2014,152306,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2014,139657,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2015,156480,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2015,149067,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2016,127502,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2016,128776,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2017,118742,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2017,127936,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2018,126458,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2018,140100,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2019,160710,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2019,143736,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2020,127567,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2020,134793,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2021,157837,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2021,168662,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2022,133833,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2022,153744,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,2023,117269,Depois da Terceira Lei,Mata Atlantica
2. Supressão de Vegetação Secundária,2023,108515,Depois da Terceira Lei,Mata Atlantica
1. Supressão de Vegetação Primária,1989,42047,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1989,2614,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1990,52561,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1990,2749,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1991,55498,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1991,2453,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1992,64138,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1992,4402,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1993,55149,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1993,6428,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1994,64796,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1994,5417,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1995,81040,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1995,4759,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1996,89958,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1996,5995,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1997,57404,Entre a Primeira e a Segunda Lei,Pantanal
2. Supressão de Vegetação Secundária,1997,2466,Entre a Primeira e a Segunda Lei,Pantanal
1. Supressão de Vegetação Primária,1998,60008,Entre a Segunda e a Terceira Lei,Pantanal
2. Supressão de Vegetação Secundária,1998,3350,Entre a Segunda e a Terceira Lei,Pantanal
1. Supressão de Vegetação Primária,1999,48503,Entre a Segunda e a Terceira Lei,Pantanal
2. Supressão de Vegetação Secundária,1999,2734,Entre a Segunda e a Terceira Lei,Pantanal
1. Supressão de Vegetação Primária,2000,49822,Entre a Segunda e a Terceira Lei,Pantanal
2. Supressão de Vegetação Secundária,2000,3509,Entre a Segunda e a Terceira Lei,Pantanal
1. Supressão de Vegetação Primária,2001,43515,Entre a Segunda e a Terceira Lei,Pantanal
2. Supressão de Vegetação Secundária,2001,2407,Entre a Segunda e a Terceira Lei,Pantanal
